"x","y","forest","agri","water","built","other","grass"
300773.411807,2793366.126422,0.140606991932386,0.391855551286977,0,0.00845178640030734,0.0266999615827891,0.432385708797541
301273.411807,2793366.126422,0.176334998079139,0.226469458317326,0,0.0153668843641952,0.0389934690741452,0.542835190165194
301773.411807,2793366.126422,0.434832756632065,0.0868896578239139,0,0.00442137639369473,0.0230680507497117,0.450788158400615
302273.411807,2793366.126422,0.59527468305801,0.140414905877833,0,0.0082597003457549,0.0261237034191318,0.22992700729927
302773.411807,2793366.126422,0.546292739147138,0.191701882443335,0,0.000960430272762197,0.00768344218209758,0.253361505954668
303273.411807,2793366.126422,0.58958093041138,0.153402537485582,0,0,0.00211457131872357,0.254901960784314
303773.411807,2793366.126422,0.656550134460238,0.213023434498655,0,0,0.00153668843641952,0.128889742604687
304273.411807,2793366.126422,0.364963503649635,0.162504802151364,0,0.00230503265462927,0.0145985401459854,0.455628121398386
304773.411807,2793366.126422,0.598808150711265,0.0251826220684352,0,0,0,0.3760092272203
305273.411807,2793366.126422,0.687668075297733,0.0147906262005378,0,0.00134460238186708,0.00403380714560123,0.29216288897426
305773.411807,2793366.126422,0.868613138686131,0.00941221667306954,0,0,0,0.121974644640799
306273.411807,2793366.126422,0.596116878123799,0.0282583621683968,0,0.00346020761245675,0.0121107266435986,0.360053825451749
306773.411807,2793366.126422,0.463311563580484,0.0468689973107952,0,0.00364963503649635,0.0142143680368805,0.471955436035344
307273.411807,2793366.126422,0.660776027660392,0.0895121014214368,0,0,0.000960430272762197,0.248751440645409
307773.411807,2793366.126422,0.736063052672049,0.0111495578623606,0,0,0,0.25278738946559
308273.411807,2793366.126422,0.693238570879754,0.00192086054552439,0,0.00326546292739147,0.00595466769112562,0.295620437956204
308773.411807,2793366.126422,0.808106031502113,0.00595466769112562,0,0,0,0.185939300806761
309273.411807,2793366.126422,0.735486351403306,0.00519031141868512,0,0.000192233756247597,0.00115340253748558,0.257977700884275
309773.411807,2793366.126422,0.58586246638494,0.0249711870918171,0,0.000768344218209758,0.00518632347291587,0.383211678832117
310273.411807,2793366.126422,0.753745678063773,0.0115251632731464,0,0.00019208605455244,0.0147906262005378,0.219746446407991
310773.411807,2793366.126422,0.225682429834679,0.135140330642061,0,0.00711264898116109,0.118223760092272,0.513840830449827
311273.411807,2793366.126422,0.334998079139454,0.0092201306185171,0,0,0.00288129081828659,0.652900499423742
311773.411807,2793366.126422,0.554744525547445,0.00595466769112562,0,0.00403380714560123,0.031886285055705,0.403380714560123
312273.411807,2793366.126422,0.44079200307574,0.0311418685121107,0,0.00326797385620915,0.0271049596309112,0.497693194925029
312773.411807,2793366.126422,0.441413753361506,0.0703034959661929,0,0,0.00480215136381099,0.48348059930849
300773.411807,2792866.126422,0.245733162048082,0.176546155257845,0,0.0161497522481189,0.0462470178014315,0.515323912644522
301273.411807,2792866.126422,0.240418118466899,0.258573262424354,0,0.00403447643498991,0.030808729139923,0.466165413533835
301773.411807,2792866.126422,0.700934579439252,0.0800806303829943,0,0,0.000183250870441635,0.218801539307312
302273.411807,2792866.126422,0.632960176179115,0.149018168471279,0,0.000550559735731327,0.0192695907505964,0.198201504863278
302773.411807,2792866.126422,0.655785805978361,0.241701815514396,0,0,0.00348432055749129,0.0990280579497524
303273.411807,2792866.126422,0.710280373831776,0.196261682242991,0,0,0,0.0934579439252336
303773.411807,2792866.126422,0.572031565424849,0.219306294732979,0,0.000550559735731327,0.00679023674068636,0.201321343365755
304273.411807,2792866.126422,0.608289015220979,0.0482303319273794,0,0.000183385292499542,0.00183385292499542,0.341463414634146
304773.411807,2792866.126422,0.776617188931647,0.0256551218618288,0,0,0,0.197727689206524
305273.411807,2792866.126422,0.814461369058543,0.0245916681959993,0,0,0,0.160946962745458
305773.411807,2792866.126422,0.890702365670273,0.0363102879149092,0,0,0.000366770584999083,0.0726205758298184
306273.411807,2792866.126422,0.779365951988272,0.0863111599780099,0,0,0,0.134322888033718
306773.411807,2792866.126422,0.287759221875574,0.180767113231786,0,0.00220223894292531,0.0262433474031932,0.503028078546522
307273.411807,2792866.126422,0.706216761415734,0.0636346964973409,0,0.000916926462497708,0.00476801760498808,0.224463598019439
307773.411807,2792866.126422,0.794942275975811,0.0263881253435954,0,0,0,0.178669598680594
308273.411807,2792866.126422,0.775555147733529,0.0200036703982382,0,0,0,0.204441181868233
308773.411807,2792866.126422,0.816981478085458,0.0566660553823583,0,0,0,0.126352466532184
309273.411807,2792866.126422,0.472054242257651,0.0157595748579806,0,0.000549752611324904,0.000916254352208173,0.510720175920836
309773.411807,2792866.126422,0.753532758304276,0.00256927876674619,0,0,0,0.243897962928978
310273.411807,2792866.126422,0.641298367870897,0.0022006235099945,0,0,0,0.356501008619109
310773.411807,2792866.126422,0.335898845519516,0.0459959684808503,0,0.00348176653839106,0.0930914421843504,0.521531977276892
311273.411807,2792866.126422,0.334373279500826,0.0407414204441182,0,0.0130299137456414,0.0352358230868049,0.57661956322261
311773.411807,2792866.126422,0.353566843939116,0.0416284613973959,0,0.0407115349348982,0.0766550522648084,0.487438107463781
312273.411807,2792866.126422,0.586952538024556,0.0234561114165292,0.000183250870441635,0.0406816932380429,0.0494777350192413,0.299248671431189
312773.411807,2792866.126422,0.657918884198936,0.00605615709304459,0,0.000183519911910442,0.0137639933932832,0.322077445402826
300773.411807,2792366.126422,0.408073394495413,0.139449541284404,0,0.00770642201834862,0.0511926605504587,0.393577981651376
301273.411807,2792366.126422,0.149697303247111,0.331131902403229,0,0.00366905155017428,0.0207301412584847,0.494771601541002
